Smiles,SPS,nSPS
O=c1c(Cl)c(OCc2ccc(Cl)nc2)cnn1-c1ccc(Cl)c(Cl)c1,268,10.72
CCc1ccc(OCCC(CC)CCC2OC2(C)CC)cc1,550,25.0
CCOC(O)=NCCOc1ccc(Oc2ccccc2)cc1,217,9.863636363636363
CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,268,14.105263157894736
C#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,270,13.5
COC(C)(C)CCCC(C)C/C=C/C(C)=C/C(=O)OC(C)C,322,14.636363636363637
CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,277,11.541666666666666
CCSC(=O)/C=C(C)/C=C/CC(C)CCCC(C)(C)OC,308,14.666666666666666
CC/C(=C\CC/C(C)=C/C(=O)OC)CC[C@H]1O[C@@]1(C)CC,543,25.857142857142858
CC[C@]1(C)O[C@@H]1CC/C(C)=C/CC/C(C)=C/C(=O)OC,531,26.55
COC(=O)/C=C(\C)CC/C=C(\C)CC[C@H]1OC1(C)C,423,22.263157894736842
Cc1cc(C)cc(C(=O)N(NC(=O)c2ccc3c(c2C)CCCO3)C(C)(C)C)c1,386,13.310344827586206
Cc1cc(C)cc(C(=O)N(N=C(O)c2ccc3c(c2C)OC(C)C3)C(C)(C)C)c1,449,15.482758620689655
CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,252,10.956521739130435
COc1cccc(C(O)=NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,299,11.074074074074074
CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,290,11.153846153846153
CC(C)(C)N(N=C(O)c1ccccc1)C(=O)c1ccccc1,239,10.863636363636363
C[C@H]([C@H](O)CCC(C)(C)O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,1560,47.27272727272727
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,1605,47.205882352941174
CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1,457,20.772727272727273
COc1ccc2c(c1)OC(C)(C)C=C2,239,17.071428571428573
COc1cc2c(cc1OC)OC(C)(C)C=C2,260,16.25
CCOc1cc2c(cc1OC)C=CC(C)(C)O2,272,16.0
N#Cc1c(N)[nH]c(=NC2CC2)[nH]c1=N,207,14.785714285714286
CC[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,1899,48.69230769230769
CC[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C3\CO[C@@H]4C(=NO)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,1834,45.85
CN/C(=N\[N+](=O)[O-])NCc1cnc(Cl)s1,168,11.2
CN=C(NCC1CCOC1)N[N+](=O)[O-],283,20.214285714285715
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,293,17.235294117647058
O=[N+]([O-])NC1=NCCN1Cc1cnc(Cl)s1,241,15.0625
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],288,16.0
CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,201,11.166666666666666
O=[N+]([O-])C=C1NCCCS1,178,17.8
C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,164,10.933333333333334
CCCOC1CC(C)C([N+](=O)[O-])=C2N(Cc3ccc(Cl)nc3)CCN21,579,23.16
N#C/N=C1\SCCN1Cc1ccc(Cl)nc1,284,17.75
CN(C)C(CSS(=O)(=O)c1ccccc1)CSS(=O)(=O)c1ccccc1,328,12.615384615384615
CN(C)C(CSC(=N)O)CSC(=N)O,152,10.857142857142858
CN(C)C1CSSSSSC1,255,23.181818181818183
CN(C)C1CSSSC1,207,23.0
CN(C)C(CSS(=O)(=O)O)CSS(=O)(=O)O,218,13.625
ClC(Cl)(Cl)C(c1ccc(Br)cc1)c1ccc(Br)cc1,226,11.894736842105264
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,226,11.894736842105264
CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,226,11.3
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,666,55.5
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,242,11.523809523809524
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,125,10.416666666666666
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,202,11.222222222222221
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,1058,58.77777777777778
ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl,717,47.8
ClCC1C(CCl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,816,48.0
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,1032,57.333333333333336
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,1700,80.95238095238095
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@H]([C@@H]3[C@@]1(Cl)C2(Cl)Cl)[C@H]1O[C@@H]41,1266,66.63157894736842
ClC1=C(Cl)C2(Cl)C3CC(Cl)CC3C1(Cl)C2(Cl)Cl,945,55.588235294117645
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,992,52.21052631578947
